target_id	length	eff_length	est_counts	tpm
KIR:KIR01163	11175	11030	30.3012	1069.5
KIR:KIR01164	11143	10998	11.7049	414.337
KIR:KIR01165	11177	11032	8.20808	289.657
KIR:KIR01166	11134	10989	0	0
KIR:KIR01167	11135	10990	0	0
KIR:KIR01168	11134	10989	0.493174	17.4719
KIR:KIR01169	11177	11032	0	0
KIR:KIR02327	10998	10853	0	0
KIR:KIR00029	9901	9755.98	0	0
KIR:KIR00300	9776	9630.98	0	0
KIR:KIR00439	9679	9533.98	0	0
KIR:KIR01039	9747	9601.98	11.438	463.751
KIR:KIR01041	9373	9227.98	2.58311e-06	0.000108977
KIR:KIR01217	9776	9630.98	0	0
KIR:KIR00259	2350	2204.97	0	0
KIR:KIR00260	9752	9606.98	0	0
KIR:KIR00262	2350	2204.97	0	0
KIR:KIR00263	2350	2204.97	0	0
KIR:KIR01201	9901	9755.98	0	0
KIR:KIR01214	9901	9755.98	0	0
KIR:KIR01218	9901	9755.98	0	0
KIR:KIR01196	9901	9755.98	0	0
KIR:KIR01219	9902	9756.98	0	0
KIR:KIR00095	9897	9751.98	0	0
KIR:KIR00249	1382	1236.97	0	0
KIR:KIR00438	9675	9529.98	0	0
KIR:KIR00440	9675	9529.98	0	0
KIR:KIR01209	9897	9751.98	0	0
KIR:KIR00391	1382	1236.97	0	0
KIR:KIR00389	1382	1236.97	0	0
KIR:KIR00882	9675	9529.98	0	0
KIR:KIR01221	9772	9626.98	120.334	4866.26
KIR:KIR01222	9675	9529.98	0	0
KIR:KIR00992	9901	9755.98	0	0
KIR:KIR01199	9901	9755.98	0	0
KIR:KIR01191	9901	9755.98	0	0
KIR:KIR01194	9772	9626.98	0	0
KIR:KIR01195	9901	9755.98	0	0
KIR:KIR01202	9901	9755.98	0	0
KIR:KIR01210	9901	9755.98	0	0
KIR:KIR01213	9901	9755.98	0	0
KIR:KIR01220	9901	9755.98	0	0
KIR:KIR01223	9772	9626.98	0	0
KIR:KIR01200	9901	9755.98	0	0
KIR:KIR01212	9901	9755.98	39.4539	1574.4
KIR:KIR01215	9901	9755.98	0	0
KIR:KIR01216	9901	9755.98	0	0
KIR:KIR00030	9975	9829.98	0	0
KIR:KIR00248	1382	1236.97	0.399934	125.87
KIR:KIR00301	9850	9704.98	0	0
KIR:KIR00394	1382	1236.97	4.68257e-08	1.47374e-05
KIR:KIR00524	1382	1236.97	0	0
KIR:KIR00632	9975	9829.98	0	0
KIR:KIR01095	9389	9243.98	2.23315	94.0494
